epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.024543885784906603,0.06794311784793731,1.6854610443115234,1.0157244,0.6525925,0.26508066,0.15468375
2,0.0733009185827835,0.16487735768438436,1.3122642040252686,0.65253115,0.6136991,0.09986813,0.109176345
3,0.08530267574292444,0.17595153578373202,1.0910446643829346,0.5282512,0.5211262,0.07899463,0.10262153
4,0.09728845533143884,0.20653368919601953,1.0570944547653198,0.4531229,0.47017002,0.06744508,0.09470526
5,0.10790816919893892,0.22064372162865342,0.914320707321167,0.39639163,0.43271214,0.061744794,0.08985685
6,0.10548852603964706,0.21019668339969785,1.0388085842132568,0.34962893,0.4049419,0.05421688,0.08815938
7,0.1185706689439311,0.2298921917221668,0.6708652973175049,0.31415328,0.38400364,0.049848653,0.0846009
8,0.1266247115229204,0.2531080303023287,0.6831972002983093,0.28588554,0.36478645,0.045718066,0.080658734
9,0.12617312502042277,0.25505565960432913,0.5863263607025146,0.25770307,0.3464453,0.041903663,0.07818421
10,0.11926995854763484,0.25876883760028613,0.5470585227012634,0.2421275,0.33520544,0.041037355,0.078397065
11,0.13231633290785555,0.278855804578533,0.6952584981918335,0.22364807,0.31628418,0.03555351,0.07369467
12,0.12177189398267879,0.26195136697228,0.6179699301719666,0.21151762,0.30703387,0.034266364,0.0740043
13,0.13684564831107848,0.2735755537364375,0.489166259765625,0.19623241,0.29283065,0.032233723,0.06816005
14,0.13735634786244133,0.2789966432798671,0.3605893552303314,0.18505575,0.28123006,0.03143233,0.066980176
15,0.14201071611843846,0.2872306637632806,0.3879840672016144,0.18086204,0.2773,0.030115947,0.069030695
16,0.1291909912165551,0.26508993674157205,0.6058186292648315,0.17539816,0.27006194,0.029310325,0.06918121
17,0.15468434944907647,0.3079710589031863,0.533963680267334,0.1671259,0.2619093,0.027279437,0.06572056
18,0.15970339236840214,0.29993323961176316,0.42576315999031067,0.15914313,0.2522896,0.027171653,0.06680838
19,0.14212527045458928,0.28906144655502886,0.49754104018211365,0.15433,0.24657609,0.026163196,0.06707237
20,0.14855133419681685,0.29193933230993596,0.5226647853851318,0.14936027,0.2406563,0.024576848,0.06223979
21,0.15997423637996125,0.33478582062037715,0.45417627692222595,0.14527516,0.23753755,0.024248697,0.06626288
22,0.1495392765731632,0.30577403912108453,0.267624169588089,0.1431929,0.23084319,0.022741297,0.06260038
23,0.15909423421980612,0.31918228606055143,0.3986396789550781,0.13743578,0.22452658,0.023859039,0.06440866
24,0.15842831561336954,0.30964390103464146,0.41164103150367737,0.13383555,0.21955441,0.023109853,0.06595751
25,0.1528035593830625,0.292959109815717,0.6325154304504395,0.13278252,0.21886443,0.022824388,0.06179323
26,0.17619573616747547,0.3196813869852638,0.291120707988739,0.12825483,0.21281525,0.02082928,0.05842964
27,0.1735766057745575,0.32230623536436387,0.2673323452472687,0.12400343,0.20676833,0.020814748,0.05741004
28,0.16496188184458263,0.30474746325574087,0.28360289335250854,0.121082254,0.20205292,0.020266999,0.057035964
29,0.1668439537835569,0.3117739922013942,0.31232333183288574,0.1188103,0.20010494,0.019432457,0.05909755
30,0.17209349608663577,0.3162379813074401,0.5536054372787476,0.118757986,0.19885296,0.02026621,0.059587125
31,0.18084733331820874,0.329689463176411,0.39033055305480957,0.11566613,0.19511911,0.019061364,0.0588548
32,0.15869485766205618,0.30683072943504963,0.29411780834198,0.11365344,0.19197959,0.018482778,0.05756715
33,0.1690227226337452,0.30016772105397277,0.38678377866744995,0.113320895,0.19122188,0.019155515,0.058513418
34,0.1698910377446506,0.3351236012177293,0.261018842458725,0.108945206,0.18452606,0.01718896,0.0537403
35,0.1635636802761924,0.2987323083232873,0.41627442836761475,0.10892218,0.18527864,0.018480973,0.05916484
36,0.18406258423837088,0.328420871182726,0.3437015414237976,0.10486896,0.18012746,0.017988997,0.056316894
37,0.16352049603488747,0.30952479111803155,0.26963329315185547,0.10576097,0.17966029,0.017449293,0.05683292
38,0.17283934876930437,0.3309390447005842,0.37075382471084595,0.10261218,0.17729132,0.01776317,0.0576536
39,0.15458785313332543,0.2816677477567385,0.2624310553073883,0.10077031,0.17320289,0.016251337,0.05405658
40,0.16710419403938034,0.3225715930169661,0.2747746407985687,0.10196586,0.17474428,0.016815193,0.058258343
